Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  01:00:00,18.966,1.25,1.25,,,0.0,,,,28.204517189868092,,,,,,,,,,,,,,,,,,,,,,,,28.36518448779148,-92.45077097682174,-92.37352749987942 
 07/21  02:00:00,18.244,3.25,3.25,,,0.0,,,,27.915022897344475,,,,,,,,,,,,,,,,,,,,,,,,28.07535760180163,-90.15431119598972,-90.66402408444901 
 07/21  03:00:00,17.731,3.375,3.375,,,0.0,,,,27.634353022900775,,,,,,,,,,,,,,,,,,,,,,,,27.794065318683455,-88.01597500735426,-88.27492922057212 
 07/21  04:00:00,17.275000000000002,1.125,1.125,,,0.0,,,,27.35524620961139,,,,,,,,,,,,,,,,,,,,,,,,27.516257282014003,-88.3204574755473,-88.21632201990715 
 07/21  05:00:00,16.913999999999998,1.875,1.875,,,0.0,,,,27.07973343271787,,,,,,,,,,,,,,,,,,,,,,,,27.23960880056964,-86.65303621887288,-87.0231391805834 
 07/21  06:00:00,16.990000000000002,3.0,3.0,,,0.0,,,,27.00704101545432,,,,,,,,,,,,,,,,,,,,,,,,27.051212537898152,3.503839012560359,-19.371136334540047 
 07/21  07:00:00,17.769,3.0,3.0,,,0.0,,,,27.39933611353179,,,,,,,,,,,,,,,,,,,,,,,,27.287024985760322,108.19766252171569,107.78142620360886 
 07/21  08:00:00,19.783,3.0,3.0,,,0.0,,,,27.774297658960812,,,,,,,,,,,,,,,,,,,,,,,,27.627103938496774,112.01253724410579,109.31100473821377 
 07/21  09:00:00,22.557,3.0,3.0,,,0.0,,,,28.231620356127976,,,,,,,,,,,,,,,,,,,,,,,,28.03859608213747,154.00231233708237,147.20855520252675 
 07/21  10:00:00,25.255000000000003,2.375,2.375,,,0.0,,,,28.782782752226847,,,,,,,,,,,,,,,,,,,,,,,,28.572314636626373,174.87200245767488,174.92003936465088 
 07/21  11:00:00,27.649,0.75,0.75,,,0.0,,,,29.28972850897221,,,,,,,,,,,,,,,,,,,,,,,,29.10762559247381,159.77114266653388,162.49517611559426 
 07/21  12:00:00,29.454,0.0,0.0,,,0.0,,,,29.703410535268063,,,,,,,,,,,,,,,,,,,,,,,,29.564406543519155,125.70742125509292,130.60988124352954 
 07/21  13:00:00,30.784,0.0,0.0,,,0.0,,,,30.07658984624443,,,,,,,,,,,,,,,,,,,,,,,,29.938572344357297,122.96650744212542,119.2076136737061 
