Boiler energy,Boiler space heating energy,Boiler space cooling energy,Boiler space cond'g energy,Boiler DHW energy,Chiller energy,Chiller heat rej fans/pumps energy,System auxiliary energy,DHW & solar heating pump energy,Lights energy,Boiler pump energy [obs],System air fan energy [obs],Aux mech vent fan energy [obs],Boiler process energy,Chiller process energy
6438.1953,6438.1953,0.0,6438.1953,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6460.954,6460.954,0.0,6460.954,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6495.638,6495.638,0.0,6495.638,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6537.509,6537.509,0.0,6537.509,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6574.9824,6574.9824,0.0,6574.9824,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6617.3325,6617.3325,0.0,6617.3325,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6665.91,6665.91,0.0,6665.91,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6695.8477,6695.8477,0.0,6695.8477,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5999.2725,5999.2725,0.0,5999.2725,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4260.701,4260.701,0.0,4260.701,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3132.012,3132.012,0.0,3132.012,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
2881.5024,2881.5024,0.0,2881.5024,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
2834.7124,2834.7124,0.0,2834.7124,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3013.1646,3013.1646,0.0,3013.1646,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3819.8494,3819.8494,0.0,3819.8494,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5063.008,5063.008,0.0,5063.008,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5706.853,5706.853,0.0,5706.853,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5944.236,5944.236,0.0,5944.236,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6137.4927,6137.4927,0.0,6137.4927,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6297.28,6297.28,0.0,6297.28,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6421.245,6421.245,0.0,6421.245,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6528.6646,6528.6646,0.0,6528.6646,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6643.7866,6643.7866,0.0,6643.7866,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6736.2837,6736.2837,0.0,6736.2837,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6832.9683,6832.9683,0.0,6832.9683,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6891.404,6891.404,0.0,6891.404,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6946.611,6946.611,0.0,6946.611,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7011.2354,7011.2354,0.0,7011.2354,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7041.819,7041.819,0.0,7041.819,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7069.2715,7069.2715,0.0,7069.2715,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7077.911,7077.911,0.0,7077.911,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7074.5635,7074.5635,0.0,7074.5635,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6877.996,6877.996,0.0,6877.996,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6320.604,6320.604,0.0,6320.604,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5191.053,5191.053,0.0,5191.053,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4162.478,4162.478,0.0,4162.478,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3675.4238,3675.4238,0.0,3675.4238,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3524.8535,3524.8535,0.0,3524.8535,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3944.1045,3944.1045,0.0,3944.1045,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5185.3843,5185.3843,0.0,5185.3843,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6298.2686,6298.2686,0.0,6298.2686,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6603.2866,6603.2866,0.0,6603.2866,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6778.247,6778.247,0.0,6778.247,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6914.532,6914.532,0.0,6914.532,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7025.114,7025.114,0.0,7025.114,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7133.8193,7133.8193,0.0,7133.8193,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7207.4355,7207.4355,0.0,7207.4355,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7293.617,7293.617,0.0,7293.617,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7356.5054,7356.5054,0.0,7356.5054,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7409.79,7409.79,0.0,7409.79,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7455.3687,7455.3687,0.0,7455.3687,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7467.708,7467.708,0.0,7467.708,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7465.1865,7465.1865,0.0,7465.1865,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7470.1943,7470.1943,0.0,7470.1943,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7503.5244,7503.5244,0.0,7503.5244,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7523.992,7523.992,0.0,7523.992,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7199.26,7199.26,0.0,7199.26,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6535.726,6535.726,0.0,6535.726,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5633.515,5633.515,0.0,5633.515,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4591.9355,4591.9355,0.0,4591.9355,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4123.4844,4123.4844,0.0,4123.4844,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4634.5,4634.5,0.0,4634.5,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5621.884,5621.884,0.0,5621.884,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6444.254,6444.254,0.0,6444.254,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6963.332,6963.332,0.0,6963.332,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7139.26,7139.26,0.0,7139.26,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7237.409,7237.409,0.0,7237.409,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7310.2607,7310.2607,0.0,7310.2607,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7358.8477,7358.8477,0.0,7358.8477,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7391.439,7391.439,0.0,7391.439,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7422.8774,7422.8774,0.0,7422.8774,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7449.4497,7449.4497,0.0,7449.4497,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7481.977,7481.977,0.0,7481.977,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7514.3022,7514.3022,0.0,7514.3022,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7543.857,7543.857,0.0,7543.857,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7564.5757,7564.5757,0.0,7564.5757,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
