Room heating plant sens. load,Room hum. plant load,System air heating load,Aux vent heating load,DHW heating demand,DHW flow rate,Solar heating system input,Solar htg system tank temp,DHW solar htg system panel temp,DHW solar htg system flow rate,DHW solar heat input,Boiler load,Boiler space heating load,Boiler space cooling load,Boiler space cond'g load,Boiler DHW load,CH[C]P heat contribution,Room cooling plant sens. load,Room dehum. plant load,System air sens. clg. load,System air lat. clg. load,Aux vent sens. clg. load,Aux vent lat. clg. load,Chiller load,System air flow rate,System air heat recovery temp,System air supply temperature,System air supply moisture content,Aux vent flow rate,Boiler process load,Chiller process load,Process heat removal,Process heat available for recovery,Process heat recovered,Process heat recovery heat pump
5150.556,0.0,0.0,0.0,0.0,,0.0,,,,,5729.993,5729.993,0.0,5729.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,4.85,0.004421432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5168.763,0.0,0.0,0.0,0.0,,0.0,,,,,5750.2485,5750.2485,0.0,5750.2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7500005,4.7500005,0.004425051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5196.511,0.0,0.0,0.0,0.0,,0.0,,,,,5781.118,5781.118,0.0,5781.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.004376943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5230.0073,0.0,0.0,0.0,0.0,,0.0,,,,,5818.384,5818.384,0.0,5818.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1500006,4.1500006,0.004295539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5259.9863,0.0,0.0,0.0,0.0,,0.0,,,,,5851.7344,5851.7344,0.0,5851.7344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.9,0.0042872257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5293.866,0.0,0.0,0.0,0.0,,0.0,,,,,5889.4263,5889.4263,0.0,5889.4263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000004,3.6000004,0.004300528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5332.7285,0.0,0.0,0.0,0.0,,0.0,,,,,5932.66,5932.66,0.0,5932.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000002,3.3000002,0.004239374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5356.6777,0.0,0.0,0.0,0.0,,0.0,,,,,5959.3037,5959.3037,0.0,5959.3037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,3.15,0.004153327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4799.4185,0.0,0.0,0.0,0.0,,0.0,,,,,5339.353,5339.353,0.0,5339.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1500003,3.1500003,0.0041161445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3408.561,0.0,0.0,0.0,0.0,,0.0,,,,,3792.0244,3792.0244,0.0,3792.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4500003,3.4500003,0.004176246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
