Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  01:00:00,18.966,1.25,1.25,,,0.0,,,,28.54984681077363,,,,,,,,,,,,,,,,,,,,,,,,28.715008782729225,-106.06939868882533,-105.99394752508753 
 07/21  02:00:00,18.244,3.25,3.25,,,0.0,,,,28.247605343500172,,,,,,,,,,,,,,,,,,,,,,,,28.41209968287034,-103.42851244087494,-104.01089997778985 
 07/21  03:00:00,17.731,3.375,3.375,,,0.0,,,,27.95449783893074,,,,,,,,,,,,,,,,,,,,,,,,28.11811933246366,-100.96478385938288,-101.2656607833998 
 07/21  04:00:00,17.275000000000002,1.125,1.125,,,0.0,,,,27.663142475799024,,,,,,,,,,,,,,,,,,,,,,,,27.827912524911774,-101.23488261249997,-101.12946572092233 
 07/21  05:00:00,16.913999999999998,1.875,1.875,,,0.0,,,,27.375687754238434,,,,,,,,,,,,,,,,,,,,,,,,27.53911835428481,-99.28876937093533,-99.71590971995525 
 07/21  06:00:00,16.990000000000002,3.0,3.0,,,0.0,,,,27.316338479150282,,,,,,,,,,,,,,,,,,,,,,,,27.34766864155358,10.116162644029536,-17.555164471459914 
 07/21  07:00:00,17.769,3.0,3.0,,,0.0,,,,27.777054926627095,,,,,,,,,,,,,,,,,,,,,,,,27.63166096688234,142.5591629604141,140.9076933423723 
 07/21  08:00:00,19.783,3.0,3.0,,,0.0,,,,28.20391716008954,,,,,,,,,,,,,,,,,,,,,,,,28.045906537095608,151.38449911469064,147.5492406144561 
 07/21  09:00:00,22.557,3.0,3.0,,,0.0,,,,28.685150184147524,,,,,,,,,,,,,,,,,,,,,,,,28.521748027265588,179.41722360919934,176.17112663572237 
 07/21  10:00:00,25.255000000000003,2.375,2.375,,,0.0,,,,29.223145888478758,,,,,,,,,,,,,,,,,,,,,,,,29.04954646104495,179.50729935203884,181.56476154466986 
 07/21  11:00:00,27.649,0.75,0.75,,,0.0,,,,29.69041817407102,,,,,,,,,,,,,,,,,,,,,,,,29.537682373605552,156.6386936125885,160.0110973140094 
 07/21  12:00:00,29.454,0.0,0.0,,,0.0,,,,30.05081467324277,,,,,,,,,,,,,,,,,,,,,,,,29.9357416680002,116.40347725244246,122.04007748141703 
 07/21  13:00:00,30.784,0.0,0.0,,,0.0,,,,30.394818177525337,,,,,,,,,,,,,,,,,,,,,,,,30.259231900487634,127.88340672716146,119.97958727998227 
